OBJECTID,DESCRIPTION,ID,MP13019A_B,MP13019A_B_I,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1621,95970 (Princeton),95970,65,112,112,127470000.0,66455.9191875051,1756054002881,Synapse54,1756054002881,Synapse54
1622,95971 (Quincy),95971,665,77,77,1460256250.0,326261.01148291584,1756054002881,Synapse54,1756054002881,Synapse54
1623,95972 (Rackerby),95972,10,38,38,49852500.0,46695.67958515334,1756054002881,Synapse54,1756054002881,Synapse54
1624,95973 (Chico),95973,6153,114,114,1078016250.0,204219.27604400416,1756054002881,Synapse54,1756054002881,Synapse54
1625,95974 (Richvale),95974,68,235,235,3991250.0,8970.01682064996,1756054002881,Synapse54,1756054002881,Synapse54
1626,95975 (Rough and Ready),95975,185,65,65,40918750.0,43992.488771469056,1756054002881,Synapse54,1756054002881,Synapse54
1627,95977 (Smartsville),95977,306,117,117,133058750.0,94585.48268639762,1756054002881,Synapse54,1756054002881,Synapse54
1628,95978 (Stirling City),95978,46,116,116,5045000.0,11068.896978561097,1756054002881,Synapse54,1756054002881,Synapse54
1629,95979 (Stonyford),95979,64,66,66,1379040000.0,212173.33007955065,1756054002881,Synapse54,1756054002881,Synapse54
1630,95981 (Strawberry Valley),95981,20,53,53,1072007500.0,212188.90942934467,1756054002881,Synapse54,1756054002881,Synapse54
1631,95982 (Sutter),95982,516,115,115,310490000.0,129793.4918860414,1756054002881,Synapse54,1756054002881,Synapse54
1632,95983 (Taylorsville),95983,33,79,79,478041250.0,179058.54220855024,1756054002881,Synapse54,1756054002881,Synapse54
1633,95984 (Twain),95984,17,90,90,496276250.0,169788.81439838515,1756054002881,Synapse54,1756054002881,Synapse54
1634,95987 (Williams),95987,874,111,111,1507826250.0,214977.6526284945,1756054002881,Synapse54,1756054002881,Synapse54
1635,95988 (Willows),95988,748,64,64,1847288750.0,271472.87235339556,1756054002881,Synapse54,1756054002881,Synapse54
1636,95991 (Yuba City),95991,5026,90,90,179482500.0,100651.52950765089,1756054002881,Synapse54,1756054002881,Synapse54
1637,95993 (Yuba City),95993,6071,119,119,356576250.0,91511.11117874125,1756054002881,Synapse54,1756054002881,Synapse54
1638,96001 (Redding),96001,4684,98,98,464295475.64453125,203090.12987046404,1756054002881,Synapse54,1756054002881,Synapse54
1639,96002 (Redding),96002,4161,89,89,137482500.0,61919.42863440633,1756054002881,Synapse54,1756054002881,Synapse54
1640,96003 (Redding),96003,6210,99,99,558244431.8242188,290745.471164651,1756054002881,Synapse54,1756054002881,Synapse54
1641,96006 (Adin),96006,18,61,61,14272500.0,18505.68479481239,1756054002881,Synapse54,1756054002881,Synapse54
1642,96007 (Anderson),96007,2088,65,65,554560000.0,190530.45748281383,1756054002881,Synapse54,1756054002881,Synapse54
1643,96008 (Bella Vista),96008,167,79,79,307155000.0,156503.05475430202,1756054002881,Synapse54,1756054002881,Synapse54
1644,96009 (Bieber),96009,21,60,60,7697500.0,13801.486383987241,1756054002881,Synapse54,1756054002881,Synapse54
1645,96010 (Big Bar),96010,20,61,61,793493750.0,187588.37351085432,1756054002881,Synapse54,1756054002881,Synapse54
1646,96013 (Burney),96013,264,48,48,1529292500.0,297058.2694646901,1756054002881,Synapse54,1756054002881,Synapse54
1647,96014 (Callahan),96014,20,60,60,608261250.0,239598.3630543971,1756054002881,Synapse54,1756054002881,Synapse54
1648,96015 (Canby),96015,27,62,62,1526682500.0,252912.52624768842,1756054002881,Synapse54,1756054002881,Synapse54
1649,96016 (Cassel),96016,40,61,61,252056250.0,92421.57931006292,1756054002881,Synapse54,1756054002881,Synapse54
1650,96017 (Castella),96017,1,48,48,71351250.0,60414.1190763448,1756054002881,Synapse54,1756054002881,Synapse54
1651,96019 (Shasta Lake),96019,765,57,57,54131250.0,45129.41441526073,1756054002881,Synapse54,1756054002881,Synapse54
1652,96020 (Chester),96020,236,68,68,1401717500.0,300240.6630942751,1756054002881,Synapse54,1756054002881,Synapse54
1653,96021 (Corning),96021,1223,54,54,2629053750.0,393337.9323249084,1756054002881,Synapse54,1756054002881,Synapse54
1654,96022 (Cottonwood),96022,1636,74,74,1369197500.0,302997.9129606354,1756054002881,Synapse54,1756054002881,Synapse54
1655,96023 (Dorris),96023,61,42,42,714516250.0,138776.75140235134,1756054002881,Synapse54,1756054002881,Synapse54
1656,96024 (Douglas City),96024,89,61,61,664108750.0,153138.37081977248,1756054002881,Synapse54,1756054002881,Synapse54
1657,96025 (Dunsmuir),96025,233,73,73,390286250.0,129498.01126336463,1756054002881,Synapse54,1756054002881,Synapse54
1658,96027 (Etna),96027,202,63,63,1102635000.0,238205.70070883504,1756054002881,Synapse54,1756054002881,Synapse54
1659,96028 (Fall River Mills),96028,99,44,44,592877500.0,156850.25489993015,1756054002881,Synapse54,1756054002881,Synapse54
1660,96031 (Forks of Salmon),96031,17,62,62,1863326250.0,345431.8875706986,1756054002881,Synapse54,1756054002881,Synapse54
1661,96032 (Fort Jones),96032,207,56,56,1376147500.0,310696.1350548878,1756054002881,Synapse54,1756054002881,Synapse54
1662,96033 (French Gulch),96033,38,61,61,961601250.0,218215.1786238145,1756054002881,Synapse54,1756054002881,Synapse54
1663,96034 (Gazelle),96034,12,45,45,475455000.0,173796.11898438673,1756054002881,Synapse54,1756054002881,Synapse54
1664,96035 (Gerber),96035,193,39,39,209581250.0,71261.57645058111,1756054002881,Synapse54,1756054002881,Synapse54
1665,96038 (Grenada),96038,54,58,58,105448750.0,58904.25464075483,1756054002881,Synapse54,1756054002881,Synapse54
1666,96039 (Happy Camp),96039,111,76,76,616602500.0,212283.2084846342,1756054002881,Synapse54,1756054002881,Synapse54
1667,96040 (Hat Creek),96040,16,59,59,497821250.0,157912.5103524775,1756054002881,Synapse54,1756054002881,Synapse54
1668,96041 (Hayfork),96041,377,45,45,1274428750.0,343131.33397943684,1756054002881,Synapse54,1756054002881,Synapse54
1669,96044 (Hornbrook),96044,69,45,45,569426250.0,163144.323657456,1756054002881,Synapse54,1756054002881,Synapse54
1670,96046 (Hyampom),96046,25,61,61,610713750.0,185011.80265569696,1756054002881,Synapse54,1756054002881,Synapse54
1671,96047 (Igo),96047,165,132,132,984718750.0,194967.34056665062,1756054002881,Synapse54,1756054002881,Synapse54
1672,96048 (Junction City),96048,52,61,61,574882500.0,183664.8350916964,1756054002881,Synapse54,1756054002881,Synapse54
1673,96050 (Klamath River),96050,44,59,59,1299045000.0,290378.5004783238,1756054002881,Synapse54,1756054002881,Synapse54
1674,96051 (Lakehead),96051,121,61,61,2189388750.0,386544.29139290703,1756054002881,Synapse54,1756054002881,Synapse54
1675,96052 (Lewiston),96052,146,61,61,1385233750.0,405640.7421213044,1756054002881,Synapse54,1756054002881,Synapse54
1676,96054 (Lookout),96054,30,60,60,1542418750.0,235170.83623767184,1756054002881,Synapse54,1756054002881,Synapse54
1677,96055 (Los Molinos),96055,251,45,45,145266250.0,64568.89209064573,1756054002881,Synapse54,1756054002881,Synapse54
1678,96056 (McArthur),96056,183,59,59,9628515000.0,669724.899739076,1756054002881,Synapse54,1756054002881,Synapse54
1679,96057 (McCloud),96057,110,61,61,877731250.0,186283.98488754456,1756054002881,Synapse54,1756054002881,Synapse54
1680,96058 (Macdoel),96058,35,43,43,2623386250.0,299137.3868757153,1756054002881,Synapse54,1756054002881,Synapse54
1681,96059 (Manton),96059,55,64,64,263906250.0,148853.33071670646,1756054002881,Synapse54,1756054002881,Synapse54
1682,96061 (Mill Creek),96061,18,58,58,533728750.0,149482.89802018428,1756054002881,Synapse54,1756054002881,Synapse54
1683,96062 (Millville),96062,186,132,132,276408750.0,146676.29981120458,1756054002881,Synapse54,1756054002881,Synapse54
1684,96063 (Mineral),96063,0,0,0,1893750.0,8451.042941590138,1756054002881,Synapse54,1756054002881,Synapse54
1685,96064 (Montague),96064,305,49,49,2839401250.0,329000.7372226487,1756054002881,Synapse54,1756054002881,Synapse54
1686,96065 (Montgomery Creek),96065,69,58,58,2652989318.1796875,384832.8578125145,1756054002881,Synapse54,1756054002881,Synapse54
1687,96067 (Mount Shasta),96067,930,90,90,793007500.0,173375.4423341251,1756054002881,Synapse54,1756054002881,Synapse54
1688,96069 (Oak Run),96069,156,95,95,702320000.0,231044.09428801696,1756054002881,Synapse54,1756054002881,Synapse54
1689,96071 (Old Station),96071,14,61,61,1254136250.0,182410.64371128715,1756054002881,Synapse54,1756054002881,Synapse54
1690,96073 (Palo Cedro),96073,877,132,132,122960000.0,100272.44808544293,1756054002881,Synapse54,1756054002881,Synapse54
1691,96075 (Paynes Creek),96075,35,62,62,588265000.0,159167.95227090997,1756054002881,Synapse54,1756054002881,Synapse54
1692,96076 (Platina),96076,26,69,69,791805000.0,225953.59661009014,1756054002881,Synapse54,1756054002881,Synapse54
1693,96080 (Red Bluff),96080,2491,63,63,4736715000.0,612058.700550242,1756054002881,Synapse54,1756054002881,Synapse54
1694,96085 (Scott Bar),96085,3,56,56,75361250.0,51497.4371374441,1756054002881,Synapse54,1756054002881,Synapse54
1695,96086 (Seiad Valley),96086,7,65,65,88325000.0,53120.76537105016,1756054002881,Synapse54,1756054002881,Synapse54
1696,96087 (Shasta),96087,57,77,77,19465550.0,28271.149039505268,1756054002881,Synapse54,1756054002881,Synapse54
1697,96088 (Shingletown),96088,561,75,75,1129358750.0,247805.3507386457,1756054002881,Synapse54,1756054002881,Synapse54
1698,96089 (Shasta Lake),96089,14,62,62,158750.0,1707.030704619254,1756054002881,Synapse54,1756054002881,Synapse54
1699,96091 (Trinity Center),96091,45,60,60,2244197500.0,418311.0704811485,1756054002881,Synapse54,1756054002881,Synapse54
1700,96093 (Weaverville),96093,337,65,65,147050000.0,78380.45686540616,1756054002881,Synapse54,1756054002881,Synapse54
1701,96094 (Weed),96094,687,70,70,807996250.0,168294.25195304595,1756054002881,Synapse54,1756054002881,Synapse54
1702,96096 (Whitmore),96096,135,119,119,791768750.0,224383.7076268356,1756054002881,Synapse54,1756054002881,Synapse54
1703,96097 (Yreka),96097,899,66,66,1068600000.0,330169.3656267031,1756054002881,Synapse54,1756054002881,Synapse54
1704,96101 (Alturas),96101,306,46,46,2647097500.0,326920.5392305595,1756054002881,Synapse54,1756054002881,Synapse54
1705,96103 (Blairsden Graeagle),96103,312,118,118,814655000.0,165045.03490781685,1756054002881,Synapse54,1756054002881,Synapse54
1706,96104 (Cedarville),96104,51,61,61,1548511250.0,227764.67116517265,1756054002881,Synapse54,1756054002881,Synapse54
1707,96105 (Chilcoot),96105,43,61,61,550965000.0,112739.95077004189,1756054002881,Synapse54,1756054002881,Synapse54
1708,96106 (Clio),96106,70,125,125,69515000.0,40399.40783294157,1756054002881,Synapse54,1756054002881,Synapse54
1709,96107 (Coleville),96107,108,62,62,2254717500.0,250455.81678242635,1756054002881,Synapse54,1756054002881,Synapse54
1710,96108 (Davis Creek),96108,18,40,40,6203376250.0,497889.0832420906,1756054002881,Synapse54,1756054002881,Synapse54
1711,96109 (Doyle),96109,58,40,40,1028097500.0,211875.02650741086,1756054002881,Synapse54,1756054002881,Synapse54
1712,96110 (Eagleville),96110,4,62,62,4645000.0,13355.19408408132,1756054002881,Synapse54,1756054002881,Synapse54
1713,96111 (Floriston),96111,14,128,128,105836250.0,50745.17082847611,1756054002881,Synapse54,1756054002881,Synapse54
1714,96112 (Fort Bidwell),96112,19,62,62,630625000.0,139546.5780661332,1756054002881,Synapse54,1756054002881,Synapse54
1715,96113 (Herlong),96113,117,48,48,1434666250.0,211781.3857529909,1756054002881,Synapse54,1756054002881,Synapse54
1716,96114 (Janesville),96114,248,58,58,1198237500.0,310870.1656209701,1756054002881,Synapse54,1756054002881,Synapse54
1717,96115 (Lake City),96115,18,62,62,1002008750.0,169131.23185894222,1756054002881,Synapse54,1756054002881,Synapse54
1718,96116 (Likely),96116,22,61,61,1463060000.0,243910.07788004164,1756054002881,Synapse54,1756054002881,Synapse54
1719,96117 (Litchfield),96117,11,67,67,333073750.0,101736.60553018218,1756054002881,Synapse54,1756054002881,Synapse54
1720,96118 (Loyalton),96118,120,63,63,396730000.0,141604.40716133287,1756054002881,Synapse54,1756054002881,Synapse54
1721,96119 (Madeline),96119,3,38,38,1139448750.0,175713.14174692525,1756054002881,Synapse54,1756054002881,Synapse54
1722,96120 (Markleeville),96120,92,61,61,1729126250.0,233883.53388553462,1756054002881,Synapse54,1756054002881,Synapse54
1723,96121 (Milford),96121,19,41,41,141433750.0,72754.25622807708,1756054002881,Synapse54,1756054002881,Synapse54
1724,96122 (Portola),96122,305,52,52,1446243750.0,343152.49351068353,1756054002881,Synapse54,1756054002881,Synapse54
1725,96123 (Ravendale),96123,4,38,38,2404976250.0,227362.4675596628,1756054002881,Synapse54,1756054002881,Synapse54
1726,96124 (Calpine),96124,35,61,61,797763750.0,157085.3208560872,1756054002881,Synapse54,1756054002881,Synapse54
1727,96125 (Sierra City),96125,26,60,60,189318750.0,103703.14989664375,1756054002881,Synapse54,1756054002881,Synapse54
1728,96126 (Sierraville),96126,46,62,62,1132352500.0,261264.149182042,1756054002881,Synapse54,1756054002881,Synapse54
1729,96128 (Standish),96128,21,71,71,33363750.0,29665.879777714592,1756054002881,Synapse54,1756054002881,Synapse54
1730,96129 (Beckwourth),96129,18,61,61,213317500.0,89171.71967562565,1756054002881,Synapse54,1756054002881,Synapse54
1731,96130 (Susanville),96130,1434,46,46,3781185000.0,501828.96885736525,1756054002881,Synapse54,1756054002881,Synapse54
1732,96132 (Termo),96132,5,42,42,1339411250.0,192269.9407858625,1756054002881,Synapse54,1756054002881,Synapse54
1733,96133 (Topaz),96133,15,69,69,264307500.0,98694.08188013076,1756054002881,Synapse54,1756054002881,Synapse54
1734,96134 (Tulelake),96134,91,37,37,2271126250.0,319769.510470627,1756054002881,Synapse54,1756054002881,Synapse54
1735,96136 (Wendel),96136,9,68,68,281755000.0,127145.42534435084,1756054002881,Synapse54,1756054002881,Synapse54
1736,96137 (Westwood),96137,309,112,112,129297500.0,98726.10728023955,1756054002881,Synapse54,1756054002881,Synapse54
1737,96140 (Carnelian Bay),96140,250,133,133,49025000.0,36372.92698125097,1756054002881,Synapse54,1756054002881,Synapse54
1738,96141 (Homewood),96141,112,97,97,91908750.0,85949.29706539145,1756054002881,Synapse54,1756054002881,Synapse54
1739,96142 (Tahoma),96142,157,110,110,58346250.0,41966.50295009932,1756054002881,Synapse54,1756054002881,Synapse54
1740,96143 (Kings Beach),96143,491,102,102,73241250.0,42188.43935674272,1756054002881,Synapse54,1756054002881,Synapse54
1741,96145 (Tahoe City),96145,836,181,181,660473750.0,202175.0149374511,1756054002881,Synapse54,1756054002881,Synapse54
1742,96146 (Olympic Valley),96146,341,211,211,33327500.0,29939.353867031747,1756054002881,Synapse54,1756054002881,Synapse54
1743,96148 (Tahoe Vista),96148,324,164,164,11633750.0,15606.541654056038,1756054002881,Synapse54,1756054002881,Synapse54
1744,96150 (South Lake Tahoe),96150,5519,133,133,926986250.0,174007.9089418281,1756054002881,Synapse54,1756054002881,Synapse54
1745,96161 (Truckee),96161,4723,174,174,845496250.0,191452.0911018678,1756054002881,Synapse54,1756054002881,Synapse54
1746,96162 (Truckee),96162,3,133,133,1845000.0,7582.739773315393,1756054002881,Synapse54,1756054002881,Synapse54
1747,00012 (Mt Meadows Area),00012,0,0,0,137521250.0,76875.69774992974,1756054002881,Synapse54,1756054002881,Synapse54
1748,00016 (Sequoia National Forest),00016,1,82,82,154306250.0,63668.544855978376,1756054002881,Synapse54,1756054002881,Synapse54
1749,00017 (Northeast Fresno County),00017,0,0,0,2313900000.0,330511.36818981776,1756054002881,Synapse54,1756054002881,Synapse54
1750,00018 (Los Padres Ntl Forest),00018,0,0,0,347607500.0,107094.36518423074,1756054002881,Synapse54,1756054002881,Synapse54
1751,00019 (Lassen Ntl Forest),00019,1,72,72,1855461250.0,212005.1674719632,1756054002881,Synapse54,1756054002881,Synapse54
1752,00020 (Sierra National Forest),00020,0,0,0,1603820000.0,219413.45714640716,1756054002881,Synapse54,1756054002881,Synapse54
1753,00022 (Jackson St Forest),00022,5,56,56,47792500.0,34399.20533874362,1756054002881,Synapse54,1756054002881,Synapse54
1754,00026 (East Tulare County),00026,3,52,52,5239428750.0,522077.81545398873,1756054002881,Synapse54,1756054002881,Synapse54
1755,00028 (Plumas Ntl Forest),00028,0,0,0,504135000.0,145104.8077119237,1756054002881,Synapse54,1756054002881,Synapse54
1756,00029 (Tahoe National Forest),00029,0,0,0,9528750.0,15064.037879563004,1756054002881,Synapse54,1756054002881,Synapse54
1757,00031 (Lassen National Forest),00031,0,0,0,302163750.0,86150.02025252634,1756054002881,Synapse54,1756054002881,Synapse54
1758,00032 (Los Padres Ntl Forest),00032,0,0,0,2159704464.9335938,347081.47852463974,1756054002881,Synapse54,1756054002881,Synapse54
1759,00033 (Tahoe National Forest),00033,1,64,64,190771250.0,69611.11786598674,1756054002881,Synapse54,1756054002881,Synapse54
1760,00034 (Klamath National Forest),00034,6,62,62,837803750.0,161726.52330750527,1756054002881,Synapse54,1756054002881,Synapse54
1761,00035 (Modoc/Shasta/Klamath Forest),00035,1,96,96,4098586250.0,434719.9718919622,1756054002881,Synapse54,1756054002881,Synapse54
1762,00037 (West Tehama County),00037,0,0,0,431391250.0,106676.8139679165,1756054002881,Synapse54,1756054002881,Synapse54
1763,00038 (East Tehama County),00038,2,38,38,1957460000.0,305114.6092074688,1756054002881,Synapse54,1756054002881,Synapse54
1764,00039 (Southeast Trinity County),00039,12,52,52,2952462500.0,522616.5150347691,1756054002881,Synapse54,1756054002881,Synapse54
1765,00040 (Yosemite Ntl Park),00040,4,230,230,1669541250.0,241948.77107168228,1756054002881,Synapse54,1756054002881,Synapse54
1766,00044 (South Alpine County),00044,1,58,58,1166870000.0,186956.0819804819,1756054002881,Synapse54,1756054002881,Synapse54
1767,00047 (West Glenn County),00047,0,0,0,659791250.0,123910.34897401954,1756054002881,Synapse54,1756054002881,Synapse54
1768,00048 (Mendocino Ntl Forest),00048,1,58,58,1045702500.0,227345.37634499095,1756054002881,Synapse54,1756054002881,Synapse54
1769,00049 (Six Rivers National Forest),00049,0,0,0,1378810000.0,262384.90199975786,1756054002881,Synapse54,1756054002881,Synapse54
1770,00050 (Six Rivers Ntl Forest),00050,0,0,0,692052500.0,170014.72760244642,1756054002881,Synapse54,1756054002881,Synapse54
